"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Oct 18 21:21:17 GMT 2024","Fri Oct 18 21:21:17 GMT 2024","1","","AnnotattionServiceSuite","","","","DeleteAnotattion",""
"passed","Fri Oct 18 21:21:17 GMT 2024","Fri Oct 18 21:21:17 GMT 2024","2","","DocumentMetaDataRepoSuite","","","","GetDocumentByID",""
"passed","Fri Oct 18 21:21:17 GMT 2024","Fri Oct 18 21:21:17 GMT 2024","0","","AnnotattionTypeServiceSuite","","","","AddAnotattionType",""
"passed","Fri Oct 18 21:21:17 GMT 2024","Fri Oct 18 21:21:17 GMT 2024","3","","AnnotationTypeRepositorySuite","","","","DeleteAnotattionType",""
"passed","Fri Oct 18 21:21:17 GMT 2024","Fri Oct 18 21:21:17 GMT 2024","2","","UserRepoSuite","","","","Create user with error",""
"passed","Fri Oct 18 21:21:17 GMT 2024","Fri Oct 18 21:21:17 GMT 2024","1","","AuthServiceSuite","","","","Auth",""
"passed","Fri Oct 18 21:21:17 GMT 2024","Fri Oct 18 21:21:17 GMT 2024","3","","DocumentServiceSuite","","","","LoadDocument",""
"passed","Fri Oct 18 21:21:17 GMT 2024","Fri Oct 18 21:21:17 GMT 2024","3","","AnnotationTypeRepositorySuite","","","","AddAnottationType",""
"passed","Fri Oct 18 21:21:17 GMT 2024","Fri Oct 18 21:21:17 GMT 2024","2","","UserRepoSuite","","","","UpdateUserByLogin",""
"passed","Fri Oct 18 21:21:17 GMT 2024","Fri Oct 18 21:21:17 GMT 2024","0","","DocumentServiceSuite","","","","GetDocumentsByCreatorID",""
"passed","Fri Oct 18 21:21:17 GMT 2024","Fri Oct 18 21:21:17 GMT 2024","3","","AnnotattionTypeServiceSuite","","","","GetAnottationTypeByIDClassic",""
"passed","Fri Oct 18 21:21:17 GMT 2024","Fri Oct 18 21:21:17 GMT 2024","1","","AnnotattionServiceSuite","","","","GetAnottationByID",""
"passed","Fri Oct 18 21:21:17 GMT 2024","Fri Oct 18 21:21:17 GMT 2024","0","","AnnotattionServiceSuite","","","","areBBsValid",""
"passed","Fri Oct 18 21:21:17 GMT 2024","Fri Oct 18 21:21:17 GMT 2024","6","","AnnotattionServiceSuite","","","","AddAnnotationClassic",""
"passed","Fri Oct 18 21:21:17 GMT 2024","Fri Oct 18 21:21:17 GMT 2024","3","","AnnotattionTypeServiceSuite","","","","DeleteAnotattionTypeClassic",""
"passed","Fri Oct 18 21:21:17 GMT 2024","Fri Oct 18 21:21:17 GMT 2024","1","","UserRepoSuite","","","","GetAllUsers",""
"passed","Fri Oct 18 21:21:17 GMT 2024","Fri Oct 18 21:21:17 GMT 2024","3","","AnnotationTypeRepositorySuite","","","","GetAnnotationTypeByID",""
"passed","Fri Oct 18 21:21:17 GMT 2024","Fri Oct 18 21:21:17 GMT 2024","0","","DocumentRepoSuite","","","","AddReport",""
"passed","Fri Oct 18 21:21:17 GMT 2024","Fri Oct 18 21:21:17 GMT 2024","2","","AnnotattionTypeServiceSuite","","","","GetAllAnotattionTypesClassic",""
"passed","Fri Oct 18 21:21:17 GMT 2024","Fri Oct 18 21:21:17 GMT 2024","3","","AnnotationTypeRepositorySuite","","","","Get all annotation types with err",""
"passed","Fri Oct 18 21:21:17 GMT 2024","Fri Oct 18 21:21:17 GMT 2024","3","","AnnotattionTypeServiceSuite","","","","GetAnottationTypesByUserID",""
"passed","Fri Oct 18 21:21:17 GMT 2024","Fri Oct 18 21:21:17 GMT 2024","0","","DocumentRepoSuite","","","","GetDocumentByID",""
"passed","Fri Oct 18 21:21:17 GMT 2024","Fri Oct 18 21:21:17 GMT 2024","2","","AnnotationTypeRepositorySuite","","","","GetAnottationsByUserID",""
"passed","Fri Oct 18 21:21:17 GMT 2024","Fri Oct 18 21:21:17 GMT 2024","3","","AnnotattionServiceSuite","","","","GetAnottationByUserID",""
"passed","Fri Oct 18 21:21:17 GMT 2024","Fri Oct 18 21:21:17 GMT 2024","0","","DocumentServiceSuite","","","","GetDocumentByID",""
"passed","Fri Oct 18 21:21:17 GMT 2024","Fri Oct 18 21:21:17 GMT 2024","2","","AuthServiceSuite","","","","Auth",""
"passed","Fri Oct 18 21:21:17 GMT 2024","Fri Oct 18 21:21:17 GMT 2024","3","","AnnotattionServiceSuite","","","","AddAnnotation",""
"passed","Fri Oct 18 21:21:17 GMT 2024","Fri Oct 18 21:21:17 GMT 2024","2","","AnnotattionServiceSuite","","","","CheckPngFile",""
"passed","Fri Oct 18 21:21:17 GMT 2024","Fri Oct 18 21:21:17 GMT 2024","3","","AnnotationTypeRepositorySuite","","","","GetAnottationTypesByIDs",""
"passed","Fri Oct 18 21:21:17 GMT 2024","Fri Oct 18 21:21:17 GMT 2024","0","","DocumentServiceSuite","","","","GetDocumentByID",""
"passed","Fri Oct 18 21:21:17 GMT 2024","Fri Oct 18 21:21:17 GMT 2024","1","","AuthServiceSuite","","","","SignIn",""
"passed","Fri Oct 18 21:21:17 GMT 2024","Fri Oct 18 21:21:17 GMT 2024","4","","AnnotattionServiceSuite","","","","GetAnottationByIDClassic",""
"passed","Fri Oct 18 21:22:04 GMT 2024","Fri Oct 18 21:22:07 GMT 2024","3635","","E2ESuite","","","","Test_E2ELoadingDocument",""
"passed","Fri Oct 18 21:21:17 GMT 2024","Fri Oct 18 21:21:17 GMT 2024","1","","AuthServiceSuite","","","","SignIn",""
"passed","Fri Oct 18 21:21:17 GMT 2024","Fri Oct 18 21:21:17 GMT 2024","1","","AnnotattionTypeServiceSuite","","","","GetAnottationTypeByID",""
"passed","Fri Oct 18 21:21:17 GMT 2024","Fri Oct 18 21:21:17 GMT 2024","2","","DocumentMetaDataRepoSuite","","","","AddDocument",""
"passed","Fri Oct 18 21:21:17 GMT 2024","Fri Oct 18 21:21:17 GMT 2024","0","","DocumentRepoSuite","","","","DeleteReportByID",""
"passed","Fri Oct 18 21:21:17 GMT 2024","Fri Oct 18 21:21:17 GMT 2024","1","","DocumentMetaDataRepoSuite","","","","DeleteDocumentByID",""
"passed","Fri Oct 18 21:21:17 GMT 2024","Fri Oct 18 21:21:17 GMT 2024","0","","DocumentServiceSuite","","","","LoadDocument",""
"passed","Fri Oct 18 21:21:17 GMT 2024","Fri Oct 18 21:21:17 GMT 2024","3","","AnnotattionServiceSuite","","","","DeleteAnotattionClassic",""
"passed","Fri Oct 18 21:21:17 GMT 2024","Fri Oct 18 21:21:17 GMT 2024","3","","AnnotattionTypeServiceSuite","","","","AddAnotattionTypeClassic",""
